Rank,Category,Similarity Score,Matched Skills,Missing Skills
82,HEALTHCARE,6.66,[],"['data science', 'spark', 'machine learning']"
83,CHEF,6.64,[],"['data science', 'spark', 'machine learning']"
84,APPAREL,6.64,[],"['data science', 'spark', 'machine learning']"
85,TEACHER,6.63,[],"['data science', 'spark', 'machine learning']"
86,TEACHER,6.61,[],"['data science', 'spark', 'machine learning']"
87,AGRICULTURE,6.6,['data science'],"['spark', 'machine learning']"
88,TEACHER,6.59,['spark'],"['data science', 'machine learning']"
89,APPAREL,6.53,[],"['data science', 'spark', 'machine learning']"
90,ADVOCATE,6.51,[],"['data science', 'spark', 'machine learning']"
91,DIGITAL-MEDIA,6.5,[],"['data science', 'spark', 'machine learning']"
92,TEACHER,6.47,[],"['data science', 'spark', 'machine learning']"
93,TEACHER,6.45,[],"['data science', 'spark', 'machine learning']"
94,ENGINEERING,6.44,[],"['data science', 'spark', 'machine learning']"
95,HEALTHCARE,6.44,[],"['data science', 'spark', 'machine learning']"
96,SALES,6.41,[],"['data science', 'spark', 'machine learning']"
97,HEALTHCARE,6.4,[],"['data science', 'spark', 'machine learning']"
98,AUTOMOBILE,6.38,['machine learning'],"['data science', 'spark']"
99,ENGINEERING,6.37,[],"['data science', 'spark', 'machine learning']"
100,HEALTHCARE,6.37,[],"['data science', 'spark', 'machine learning']"
101,SALES,6.36,[],"['data science', 'spark', 'machine learning']"
102,CONSTRUCTION,6.36,[],"['data science', 'spark', 'machine learning']"
103,BUSINESS-DEVELOPMENT,6.35,[],"['data science', 'spark', 'machine learning']"
104,DIGITAL-MEDIA,6.31,[],"['data science', 'spark', 'machine learning']"
105,BPO,6.29,[],"['data science', 'spark', 'machine learning']"
106,INFORMATION-TECHNOLOGY,6.28,[],"['data science', 'spark', 'machine learning']"
107,HR,6.27,[],"['data science', 'spark', 'machine learning']"
108,INFORMATION-TECHNOLOGY,6.27,[],"['data science', 'spark', 'machine learning']"
109,ENGINEERING,6.27,[],"['data science', 'spark', 'machine learning']"
110,INFORMATION-TECHNOLOGY,6.26,[],"['data science', 'spark', 'machine learning']"
111,INFORMATION-TECHNOLOGY,6.26,[],"['data science', 'spark', 'machine learning']"
112,DESIGNER,6.23,[],"['data science', 'spark', 'machine learning']"
113,ARTS,6.21,[],"['data science', 'spark', 'machine learning']"
114,INFORMATION-TECHNOLOGY,6.18,[],"['data science', 'spark', 'machine learning']"
115,DIGITAL-MEDIA,6.18,[],"['data science', 'spark', 'machine learning']"
116,HR,6.17,[],"['data science', 'spark', 'machine learning']"
117,ENGINEERING,6.15,[],"['data science', 'spark', 'machine learning']"
118,HR,6.14,[],"['data science', 'spark', 'machine learning']"
119,TEACHER,6.13,[],"['data science', 'spark', 'machine learning']"
120,DESIGNER,6.13,[],"['data science', 'spark', 'machine learning']"
121,ACCOUNTANT,6.13,[],"['data science', 'spark', 'machine learning']"
122,HR,6.12,[],"['data science', 'spark', 'machine learning']"
123,CONSULTANT,6.11,[],"['data science', 'spark', 'machine learning']"
124,DIGITAL-MEDIA,6.11,[],"['data science', 'spark', 'machine learning']"
125,HEALTHCARE,6.11,[],"['data science', 'spark', 'machine learning']"
126,CHEF,6.09,[],"['data science', 'spark', 'machine learning']"
127,SALES,6.09,[],"['data science', 'spark', 'machine learning']"
128,DIGITAL-MEDIA,6.08,[],"['data science', 'spark', 'machine learning']"
129,CONSULTANT,6.07,[],"['data science', 'spark', 'machine learning']"
130,CONSTRUCTION,6.07,[],"['data science', 'spark', 'machine learning']"
131,ARTS,6.06,[],"['data science', 'spark', 'machine learning']"
132,DESIGNER,6.04,[],"['data science', 'spark', 'machine learning']"
133,ADVOCATE,6.04,[],"['data science', 'spark', 'machine learning']"
134,BPO,6.04,[],"['data science', 'spark', 'machine learning']"
135,INFORMATION-TECHNOLOGY,6.02,[],"['data science', 'spark', 'machine learning']"
136,PUBLIC-RELATIONS,6.02,[],"['data science', 'spark', 'machine learning']"
137,ENGINEERING,6.01,[],"['data science', 'spark', 'machine learning']"
138,DIGITAL-MEDIA,6.01,[],"['data science', 'spark', 'machine learning']"
139,ENGINEERING,6.01,[],"['data science', 'spark', 'machine learning']"
140,SALES,6.0,[],"['data science', 'spark', 'machine learning']"
141,AVIATION,5.99,[],"['data science', 'spark', 'machine learning']"
142,HR,5.97,[],"['data science', 'spark', 'machine learning']"
143,DIGITAL-MEDIA,5.97,[],"['data science', 'spark', 'machine learning']"
144,FITNESS,5.96,[],"['data science', 'spark', 'machine learning']"
145,ADVOCATE,5.96,[],"['data science', 'spark', 'machine learning']"
146,TEACHER,5.96,[],"['data science', 'spark', 'machine learning']"
147,DIGITAL-MEDIA,5.95,[],"['data science', 'spark', 'machine learning']"
148,AUTOMOBILE,5.94,[],"['data science', 'spark', 'machine learning']"
149,HEALTHCARE,5.94,[],"['data science', 'spark', 'machine learning']"
150,TEACHER,5.93,[],"['data science', 'spark', 'machine learning']"
151,ENGINEERING,5.93,[],"['data science', 'spark', 'machine learning']"
152,AVIATION,5.92,[],"['data science', 'spark', 'machine learning']"
153,HR,5.9,[],"['data science', 'spark', 'machine learning']"
154,ENGINEERING,5.89,[],"['data science', 'spark', 'machine learning']"
155,CONSULTANT,5.88,[],"['data science', 'spark', 'machine learning']"
156,DIGITAL-MEDIA,5.87,[],"['data science', 'spark', 'machine learning']"
157,FITNESS,5.86,[],"['data science', 'spark', 'machine learning']"
158,APPAREL,5.86,[],"['data science', 'spark', 'machine learning']"
159,DESIGNER,5.84,[],"['data science', 'spark', 'machine learning']"
160,HR,5.84,[],"['data science', 'spark', 'machine learning']"
161,SALES,5.84,[],"['data science', 'spark', 'machine learning']"
162,DESIGNER,5.83,[],"['data science', 'spark', 'machine learning']"
163,SALES,5.83,[],"['data science', 'spark', 'machine learning']"
164,HR,5.82,[],"['data science', 'spark', 'machine learning']"
165,APPAREL,5.82,[],"['data science', 'spark', 'machine learning']"
166,AUTOMOBILE,5.81,"['data science', 'spark']",['machine learning']
167,AUTOMOBILE,5.81,[],"['data science', 'spark', 'machine learning']"
168,APPAREL,5.79,[],"['data science', 'spark', 'machine learning']"
169,HR,5.78,[],"['data science', 'spark', 'machine learning']"
170,HR,5.78,[],"['data science', 'spark', 'machine learning']"
171,HR,5.77,[],"['data science', 'spark', 'machine learning']"
172,INFORMATION-TECHNOLOGY,5.77,[],"['data science', 'spark', 'machine learning']"
173,AVIATION,5.75,[],"['data science', 'spark', 'machine learning']"
174,DESIGNER,5.74,[],"['data science', 'spark', 'machine learning']"
175,HEALTHCARE,5.73,[],"['data science', 'spark', 'machine learning']"
176,ENGINEERING,5.73,[],"['data science', 'spark', 'machine learning']"
177,CHEF,5.72,[],"['data science', 'spark', 'machine learning']"
178,HEALTHCARE,5.71,[],"['data science', 'spark', 'machine learning']"
179,INFORMATION-TECHNOLOGY,5.7,[],"['data science', 'spark', 'machine learning']"
180,DESIGNER,5.69,[],"['data science', 'spark', 'machine learning']"
181,CONSULTANT,5.68,[],"['data science', 'spark', 'machine learning']"
182,ACCOUNTANT,5.68,[],"['data science', 'spark', 'machine learning']"
183,TEACHER,5.66,[],"['data science', 'spark', 'machine learning']"
184,CHEF,5.64,[],"['data science', 'spark', 'machine learning']"
185,FITNESS,5.64,[],"['data science', 'spark', 'machine learning']"
186,BANKING,5.62,[],"['data science', 'spark', 'machine learning']"
187,INFORMATION-TECHNOLOGY,5.61,[],"['data science', 'spark', 'machine learning']"
188,BUSINESS-DEVELOPMENT,5.61,['spark'],"['data science', 'machine learning']"
189,DIGITAL-MEDIA,5.61,[],"['data science', 'spark', 'machine learning']"
190,HR,5.61,[],"['data science', 'spark', 'machine learning']"
191,APPAREL,5.61,[],"['data science', 'spark', 'machine learning']"
192,TEACHER,5.6,[],"['data science', 'spark', 'machine learning']"
193,HR,5.6,[],"['data science', 'spark', 'machine learning']"
194,HEALTHCARE,5.59,[],"['data science', 'spark', 'machine learning']"
195,TEACHER,5.59,[],"['data science', 'spark', 'machine learning']"
196,DIGITAL-MEDIA,5.58,[],"['data science', 'spark', 'machine learning']"
197,BUSINESS-DEVELOPMENT,5.58,[],"['data science', 'spark', 'machine learning']"
198,ADVOCATE,5.57,[],"['data science', 'spark', 'machine learning']"
199,SALES,5.57,[],"['data science', 'spark', 'machine learning']"
200,HR,5.56,[],"['data science', 'spark', 'machine learning']"
201,ENGINEERING,5.56,['data science'],"['spark', 'machine learning']"
202,HEALTHCARE,5.56,[],"['data science', 'spark', 'machine learning']"
203,BUSINESS-DEVELOPMENT,5.56,['data science'],"['spark', 'machine learning']"
204,FINANCE,5.54,[],"['data science', 'spark', 'machine learning']"
205,CONSULTANT,5.54,[],"['data science', 'spark', 'machine learning']"
206,TEACHER,5.54,[],"['data science', 'spark', 'machine learning']"
207,ADVOCATE,5.54,[],"['data science', 'spark', 'machine learning']"
208,ARTS,5.53,[],"['data science', 'spark', 'machine learning']"
209,CONSTRUCTION,5.53,[],"['data science', 'spark', 'machine learning']"
210,ENGINEERING,5.53,[],"['data science', 'spark', 'machine learning']"
211,HEALTHCARE,5.53,[],"['data science', 'spark', 'machine learning']"
212,AGRICULTURE,5.53,[],"['data science', 'spark', 'machine learning']"
213,CONSTRUCTION,5.52,[],"['data science', 'spark', 'machine learning']"
214,DIGITAL-MEDIA,5.51,[],"['data science', 'spark', 'machine learning']"
215,CONSULTANT,5.51,[],"['data science', 'spark', 'machine learning']"
216,ADVOCATE,5.48,[],"['data science', 'spark', 'machine learning']"
217,DESIGNER,5.48,[],"['data science', 'spark', 'machine learning']"
218,CONSTRUCTION,5.48,[],"['data science', 'spark', 'machine learning']"
219,ADVOCATE,5.48,[],"['data science', 'spark', 'machine learning']"
220,DESIGNER,5.48,[],"['data science', 'spark', 'machine learning']"
221,ARTS,5.47,[],"['data science', 'spark', 'machine learning']"
222,INFORMATION-TECHNOLOGY,5.47,[],"['data science', 'spark', 'machine learning']"
223,BUSINESS-DEVELOPMENT,5.47,[],"['data science', 'spark', 'machine learning']"
224,HR,5.46,[],"['data science', 'spark', 'machine learning']"
225,BUSINESS-DEVELOPMENT,5.46,[],"['data science', 'spark', 'machine learning']"
226,SALES,5.46,[],"['data science', 'spark', 'machine learning']"
227,DIGITAL-MEDIA,5.45,[],"['data science', 'spark', 'machine learning']"
228,DESIGNER,5.45,[],"['data science', 'spark', 'machine learning']"
229,BUSINESS-DEVELOPMENT,5.45,[],"['data science', 'spark', 'machine learning']"
230,HEALTHCARE,5.45,[],"['data science', 'spark', 'machine learning']"
231,DIGITAL-MEDIA,5.44,[],"['data science', 'spark', 'machine learning']"
232,BPO,5.44,[],"['data science', 'spark', 'machine learning']"
233,SALES,5.44,[],"['data science', 'spark', 'machine learning']"
234,BUSINESS-DEVELOPMENT,5.44,[],"['data science', 'spark', 'machine learning']"
235,AGRICULTURE,5.44,[],"['data science', 'spark', 'machine learning']"
236,INFORMATION-TECHNOLOGY,5.42,['spark'],"['data science', 'machine learning']"
237,ACCOUNTANT,5.42,[],"['data science', 'spark', 'machine learning']"
238,INFORMATION-TECHNOLOGY,5.4,[],"['data science', 'spark', 'machine learning']"
239,CONSULTANT,5.4,[],"['data science', 'spark', 'machine learning']"
240,INFORMATION-TECHNOLOGY,5.39,['spark'],"['data science', 'machine learning']"
241,BANKING,5.39,[],"['data science', 'spark', 'machine learning']"
242,BANKING,5.38,[],"['data science', 'spark', 'machine learning']"
243,ARTS,5.38,[],"['data science', 'spark', 'machine learning']"
244,HEALTHCARE,5.38,[],"['data science', 'spark', 'machine learning']"
245,INFORMATION-TECHNOLOGY,5.37,[],"['data science', 'spark', 'machine learning']"
246,AVIATION,5.36,[],"['data science', 'spark', 'machine learning']"
247,INFORMATION-TECHNOLOGY,5.35,[],"['data science', 'spark', 'machine learning']"
248,CONSULTANT,5.34,[],"['data science', 'spark', 'machine learning']"
249,ENGINEERING,5.33,[],"['data science', 'spark', 'machine learning']"
250,HEALTHCARE,5.33,[],"['data science', 'spark', 'machine learning']"
251,HR,5.32,[],"['data science', 'spark', 'machine learning']"
252,BUSINESS-DEVELOPMENT,5.32,[],"['data science', 'spark', 'machine learning']"
253,ENGINEERING,5.31,[],"['data science', 'spark', 'machine learning']"
254,CONSULTANT,5.31,[],"['data science', 'spark', 'machine learning']"
255,TEACHER,5.3,[],"['data science', 'spark', 'machine learning']"
256,CONSULTANT,5.3,[],"['data science', 'spark', 'machine learning']"
257,PUBLIC-RELATIONS,5.3,[],"['data science', 'spark', 'machine learning']"
258,APPAREL,5.3,[],"['data science', 'spark', 'machine learning']"
259,CONSTRUCTION,5.3,[],"['data science', 'spark', 'machine learning']"
260,HR,5.3,[],"['data science', 'spark', 'machine learning']"
261,ARTS,5.29,[],"['data science', 'spark', 'machine learning']"
262,HR,5.28,[],"['data science', 'spark', 'machine learning']"
263,FINANCE,5.28,[],"['data science', 'spark', 'machine learning']"
264,DESIGNER,5.28,[],"['data science', 'spark', 'machine learning']"
265,APPAREL,5.27,[],"['data science', 'spark', 'machine learning']"
266,AGRICULTURE,5.27,[],"['data science', 'spark', 'machine learning']"
267,ARTS,5.27,[],"['data science', 'spark', 'machine learning']"
268,TEACHER,5.27,[],"['data science', 'spark', 'machine learning']"
269,HR,5.25,[],"['data science', 'spark', 'machine learning']"
270,HR,5.24,[],"['data science', 'spark', 'machine learning']"
271,DIGITAL-MEDIA,5.24,[],"['data science', 'spark', 'machine learning']"
272,FINANCE,5.24,[],"['data science', 'spark', 'machine learning']"
273,ENGINEERING,5.23,[],"['data science', 'spark', 'machine learning']"
274,ENGINEERING,5.23,[],"['data science', 'spark', 'machine learning']"
275,AGRICULTURE,5.22,[],"['data science', 'spark', 'machine learning']"
276,BANKING,5.22,[],"['data science', 'spark', 'machine learning']"
277,HEALTHCARE,5.22,[],"['data science', 'spark', 'machine learning']"
278,ADVOCATE,5.2,[],"['data science', 'spark', 'machine learning']"
279,CONSTRUCTION,5.2,[],"['data science', 'spark', 'machine learning']"
280,ARTS,5.2,['spark'],"['data science', 'machine learning']"
281,HR,5.19,[],"['data science', 'spark', 'machine learning']"
282,PUBLIC-RELATIONS,5.17,[],"['data science', 'spark', 'machine learning']"
283,TEACHER,5.17,[],"['data science', 'spark', 'machine learning']"
284,TEACHER,5.17,[],"['data science', 'spark', 'machine learning']"
285,AUTOMOBILE,5.17,[],"['data science', 'spark', 'machine learning']"
286,FITNESS,5.16,[],"['data science', 'spark', 'machine learning']"
287,PUBLIC-RELATIONS,5.15,[],"['data science', 'spark', 'machine learning']"
288,AGRICULTURE,5.15,[],"['data science', 'spark', 'machine learning']"
289,ENGINEERING,5.14,[],"['data science', 'spark', 'machine learning']"
290,DESIGNER,5.14,[],"['data science', 'spark', 'machine learning']"
291,PUBLIC-RELATIONS,5.12,[],"['data science', 'spark', 'machine learning']"
292,FINANCE,5.11,[],"['data science', 'spark', 'machine learning']"
293,DIGITAL-MEDIA,5.11,[],"['data science', 'spark', 'machine learning']"
294,CONSULTANT,5.11,[],"['data science', 'spark', 'machine learning']"
295,PUBLIC-RELATIONS,5.1,[],"['data science', 'spark', 'machine learning']"
296,DIGITAL-MEDIA,5.1,[],"['data science', 'spark', 'machine learning']"
297,PUBLIC-RELATIONS,5.09,[],"['data science', 'spark', 'machine learning']"
298,APPAREL,5.09,[],"['data science', 'spark', 'machine learning']"
299,FITNESS,5.08,[],"['data science', 'spark', 'machine learning']"
300,ADVOCATE,5.08,[],"['data science', 'spark', 'machine learning']"
301,ARTS,5.08,[],"['data science', 'spark', 'machine learning']"
302,AVIATION,5.08,[],"['data science', 'spark', 'machine learning']"
303,ARTS,5.07,[],"['data science', 'spark', 'machine learning']"
304,AVIATION,5.07,[],"['data science', 'spark', 'machine learning']"
305,INFORMATION-TECHNOLOGY,5.06,[],"['data science', 'spark', 'machine learning']"
306,ENGINEERING,5.05,[],"['data science', 'spark', 'machine learning']"
307,ENGINEERING,5.04,[],"['data science', 'spark', 'machine learning']"
308,ARTS,5.04,[],"['data science', 'spark', 'machine learning']"
309,ARTS,5.04,[],"['data science', 'spark', 'machine learning']"
310,HEALTHCARE,5.03,[],"['data science', 'spark', 'machine learning']"
311,BUSINESS-DEVELOPMENT,5.02,[],"['data science', 'spark', 'machine learning']"
312,INFORMATION-TECHNOLOGY,5.02,[],"['data science', 'spark', 'machine learning']"
313,DESIGNER,5.02,[],"['data science', 'spark', 'machine learning']"
314,ARTS,5.01,[],"['data science', 'spark', 'machine learning']"
315,ARTS,5.01,['spark'],"['data science', 'machine learning']"
316,HR,5.01,[],"['data science', 'spark', 'machine learning']"
317,PUBLIC-RELATIONS,5.01,[],"['data science', 'spark', 'machine learning']"
318,INFORMATION-TECHNOLOGY,5.01,[],"['data science', 'spark', 'machine learning']"
319,FITNESS,5.0,[],"['data science', 'spark', 'machine learning']"
320,CONSULTANT,5.0,[],"['data science', 'spark', 'machine learning']"
321,APPAREL,5.0,[],"['data science', 'spark', 'machine learning']"
322,CONSULTANT,5.0,[],"['data science', 'spark', 'machine learning']"
323,ENGINEERING,5.0,[],"['data science', 'spark', 'machine learning']"
324,AVIATION,4.99,[],"['data science', 'spark', 'machine learning']"
325,BUSINESS-DEVELOPMENT,4.97,[],"['data science', 'spark', 'machine learning']"
326,ENGINEERING,4.97,[],"['data science', 'spark', 'machine learning']"
327,DIGITAL-MEDIA,4.97,[],"['data science', 'spark', 'machine learning']"
328,APPAREL,4.97,[],"['data science', 'spark', 'machine learning']"
329,HEALTHCARE,4.97,[],"['data science', 'spark', 'machine learning']"
330,BUSINESS-DEVELOPMENT,4.97,[],"['data science', 'spark', 'machine learning']"
331,ADVOCATE,4.96,[],"['data science', 'spark', 'machine learning']"
332,CONSTRUCTION,4.95,[],"['data science', 'spark', 'machine learning']"
333,FINANCE,4.95,[],"['data science', 'spark', 'machine learning']"
334,HR,4.95,[],"['data science', 'spark', 'machine learning']"
335,DIGITAL-MEDIA,4.95,[],"['data science', 'spark', 'machine learning']"
336,BANKING,4.95,[],"['data science', 'spark', 'machine learning']"
337,AVIATION,4.95,[],"['data science', 'spark', 'machine learning']"
338,SALES,4.94,[],"['data science', 'spark', 'machine learning']"
339,ENGINEERING,4.94,[],"['data science', 'spark', 'machine learning']"
340,BANKING,4.94,[],"['data science', 'spark', 'machine learning']"
341,CONSULTANT,4.93,[],"['data science', 'spark', 'machine learning']"
342,ADVOCATE,4.93,[],"['data science', 'spark', 'machine learning']"
343,APPAREL,4.93,[],"['data science', 'spark', 'machine learning']"
344,CONSULTANT,4.92,[],"['data science', 'spark', 'machine learning']"
345,AVIATION,4.92,[],"['data science', 'spark', 'machine learning']"
346,AUTOMOBILE,4.92,[],"['data science', 'spark', 'machine learning']"
347,INFORMATION-TECHNOLOGY,4.92,[],"['data science', 'spark', 'machine learning']"
348,HR,4.92,[],"['data science', 'spark', 'machine learning']"
349,HEALTHCARE,4.91,[],"['data science', 'spark', 'machine learning']"
350,CONSULTANT,4.91,[],"['data science', 'spark', 'machine learning']"
351,TEACHER,4.91,[],"['data science', 'spark', 'machine learning']"
352,ARTS,4.91,[],"['data science', 'spark', 'machine learning']"
353,AVIATION,4.91,[],"['data science', 'spark', 'machine learning']"
354,FITNESS,4.9,[],"['data science', 'spark', 'machine learning']"
355,TEACHER,4.9,[],"['data science', 'spark', 'machine learning']"
356,DIGITAL-MEDIA,4.9,[],"['data science', 'spark', 'machine learning']"
357,TEACHER,4.89,[],"['data science', 'spark', 'machine learning']"
358,ADVOCATE,4.89,[],"['data science', 'spark', 'machine learning']"
359,PUBLIC-RELATIONS,4.89,[],"['data science', 'spark', 'machine learning']"
360,INFORMATION-TECHNOLOGY,4.89,[],"['data science', 'spark', 'machine learning']"
361,AGRICULTURE,4.89,[],"['data science', 'spark', 'machine learning']"
362,HEALTHCARE,4.89,[],"['data science', 'spark', 'machine learning']"
363,INFORMATION-TECHNOLOGY,4.89,[],"['data science', 'spark', 'machine learning']"
364,BUSINESS-DEVELOPMENT,4.88,[],"['data science', 'spark', 'machine learning']"
365,HR,4.88,[],"['data science', 'spark', 'machine learning']"
366,HEALTHCARE,4.88,[],"['data science', 'spark', 'machine learning']"
367,TEACHER,4.85,[],"['data science', 'spark', 'machine learning']"
368,ADVOCATE,4.85,[],"['data science', 'spark', 'machine learning']"
369,ARTS,4.84,[],"['data science', 'spark', 'machine learning']"
370,HEALTHCARE,4.84,[],"['data science', 'spark', 'machine learning']"
371,ARTS,4.83,[],"['data science', 'spark', 'machine learning']"
372,AVIATION,4.83,[],"['data science', 'spark', 'machine learning']"
373,AUTOMOBILE,4.83,[],"['data science', 'spark', 'machine learning']"
374,AVIATION,4.82,[],"['data science', 'spark', 'machine learning']"
375,AVIATION,4.82,[],"['data science', 'spark', 'machine learning']"
376,CHEF,4.82,[],"['data science', 'spark', 'machine learning']"
377,INFORMATION-TECHNOLOGY,4.82,[],"['data science', 'spark', 'machine learning']"
378,DIGITAL-MEDIA,4.82,[],"['data science', 'spark', 'machine learning']"
379,DESIGNER,4.81,[],"['data science', 'spark', 'machine learning']"
380,DIGITAL-MEDIA,4.81,[],"['data science', 'spark', 'machine learning']"
381,ADVOCATE,4.81,[],"['data science', 'spark', 'machine learning']"
382,CONSULTANT,4.8,[],"['data science', 'spark', 'machine learning']"
383,ADVOCATE,4.8,[],"['data science', 'spark', 'machine learning']"
384,TEACHER,4.8,[],"['data science', 'spark', 'machine learning']"
385,APPAREL,4.79,[],"['data science', 'spark', 'machine learning']"
386,TEACHER,4.79,[],"['data science', 'spark', 'machine learning']"
387,TEACHER,4.79,[],"['data science', 'spark', 'machine learning']"
388,SALES,4.78,[],"['data science', 'spark', 'machine learning']"
389,FITNESS,4.78,[],"['data science', 'spark', 'machine learning']"
390,CONSTRUCTION,4.78,[],"['data science', 'spark', 'machine learning']"
391,ADVOCATE,4.78,[],"['data science', 'spark', 'machine learning']"
392,ARTS,4.77,[],"['data science', 'spark', 'machine learning']"
393,CONSTRUCTION,4.77,[],"['data science', 'spark', 'machine learning']"
394,FINANCE,4.77,[],"['data science', 'spark', 'machine learning']"
395,ADVOCATE,4.76,[],"['data science', 'spark', 'machine learning']"
